[ PSO ]

EPS_X	EPS_Y	GAMMA
eps_x[0] = -5.760535e-07	 eps_y[0] = 2.425609e-06	 gama[0] = 1.523880e-07
eps_x[1] = 3.816061e-07	 eps_y[1] = -3.696139e-06	 gama[1] = 1.255091e-06
eps_x[2] = -6.478570e-07	 eps_y[2] = 4.580113e-07	 gama[2] = 3.602913e-06
eps_x[3] = 5.646656e-07	 eps_y[3] = -5.862301e-07	 gama[3] = -3.820795e-06
eps_x[4] = -7.108989e-07	 eps_y[4] = 3.244216e-06	 gama[4] = 8.526715e-07
eps_x[5] = 6.778283e-07	 eps_y[5] = -3.696139e-06	 gama[5] = -5.759423e-07
eps_x[6] = -6.577259e-07	 eps_y[6] = 6.066586e-07	 gama[6] = 3.676197e-06
eps_x[7] = -7.868953e-07	 eps_y[7] = 3.096129e-06	 gama[7] = 1.353373e-06
eps_x[8] = -5.938431e-07	 eps_y[8] = 5.861625e-07	 gama[8] = 3.758351e-06
eps_x[9] = 5.629667e-07	 eps_y[9] = -6.367600e-07	 gama[9] = -3.840367e-06
eps_x[10] = -5.728284e-07	 eps_y[10] = 6.367395e-07	 gama[10] = 3.815856e-06
eps_x[11] = 5.618470e-07	 eps_y[11] = -6.544181e-07	 gama[11] = -3.844486e-06
eps_x[12] = -6.162334e-07	 eps_y[12] = 5.803579e-07	 gama[12] = 3.719207e-06
eps_x[13] = -8.938075e-07	 eps_y[13] = 3.292217e-06	 gama[13] = 1.989407e-06
eps_x[14] = -5.863182e-07	 eps_y[14] = 6.176697e-07	 gama[14] = 3.783285e-06
eps_x[15] = -9.240530e-07	 eps_y[15] = 3.417136e-06	 gama[15] = 2.161704e-06
eps_x[16] = -7.722038e-07	 eps_y[16] = 3.518616e-06	 gama[16] = 1.183726e-06
eps_x[17] = 7.609769e-07	 eps_y[17] = -3.735137e-06	 gama[17] = -1.080531e-06
eps_x[18] = -6.450066e-07	 eps_y[18] = 6.520286e-07	 gama[18] = 3.727296e-06
eps_x[19] = -8.021014e-07	 eps_y[19] = 3.340985e-06	 gama[19] = 1.408547e-06
eps_x[20] = -8.165752e-07	 eps_y[20] = 3.557336e-06	 gama[20] = 1.443077e-06
eps_x[21] = 8.060849e-07	 eps_y[21] = -3.815820e-06	 gama[21] = -1.337820e-06
eps_x[22] = -6.306084e-07	 eps_y[22] = 6.484349e-07	 gama[22] = 3.742499e-06
eps_x[23] = -8.263393e-07	 eps_y[23] = 3.447683e-06	 gama[23] = 1.543772e-06
eps_x[24] = -6.180778e-07	 eps_y[24] = 6.218407e-07	 gama[24] = 3.740819e-06
eps_x[25] = -8.572545e-07	 eps_y[25] = 3.325239e-06	 gama[25] = 1.759228e-06
eps_x[26] = -5.935902e-07	 eps_y[26] = 6.216366e-07	 gama[26] = 3.773581e-06
eps_x[27] = -9.029963e-07	 eps_y[27] = 3.390629e-06	 gama[27] = 2.036518e-06
eps_x[28] = -6.137806e-07	 eps_y[28] = 6.413937e-07	 gama[28] = 3.755336e-06
eps_x[29] = -8.574908e-07	 eps_y[29] = 3.401001e-06	 gama[29] = 1.751213e-06
eps_x[30] = -5.946084e-07	 eps_y[30] = 6.358026e-07	 gama[30] = 3.778742e-06
eps_x[31] = -8.915222e-07	 eps_y[31] = 3.405928e-06	 gama[31] = 1.964435e-06
eps_x[32] = -5.649510e-07	 eps_y[32] = 6.544126e-07	 gama[32] = 3.834466e-06
eps_x[33] = 5.611468e-07	 eps_y[33] = -6.602009e-07	 gama[33] = -3.844029e-06
eps_x[34] = -5.620275e-07	 eps_y[34] = 6.601994e-07	 gama[34] = 3.839926e-06
eps_x[35] = 5.607318e-07	 eps_y[35] = -6.617726e-07	 gama[35] = -3.842790e-06
eps_x[36] = -5.711829e-07	 eps_y[36] = 6.413309e-07	 gama[36] = 3.817338e-06
eps_x[37] = -9.335391e-07	 eps_y[37] = 3.474760e-06	 gama[37] = 2.214939e-06
eps_x[38] = -5.645380e-07	 eps_y[38] = 6.520306e-07	 gama[38] = 3.831472e-06
eps_x[39] = -9.365072e-07	 eps_y[39] = 3.498153e-06	 gama[39] = 2.231767e-06
eps_x[40] = -5.609532e-07	 eps_y[40] = 6.617723e-07	 gama[40] = 3.841205e-06
