[ PSN ]

tEPS_Z
eps_z[0] = -5.168894e-07
eps_z[1] = 9.074003e-07
eps_z[2] = 7.009066e-08
eps_z[3] = -2.589610e-08
eps_z[4] = -6.908302e-07
eps_z[5] = 8.189441e-07
eps_z[6] = 3.559604e-08
eps_z[7] = -6.292638e-07
eps_z[8] = 3.026158e-08
eps_z[9] = -1.312179e-08
eps_z[10] = 1.453548e-08
eps_z[11] = -8.513818e-09
eps_z[12] = 3.524936e-08
eps_z[13] = -6.485236e-07
eps_z[14] = 2.132832e-08
eps_z[15] = -6.720789e-07
eps_z[16] = -7.443794e-07
eps_z[17] = 8.043743e-07
eps_z[18] = 2.266274e-08
eps_z[19] = -6.887732e-07
eps_z[20] = -7.414042e-07
eps_z[21] = 8.121684e-07
eps_z[22] = 2.121389e-08
eps_z[23] = -7.094058e-07
eps_z[24] = 2.549215e-08
eps_z[25] = -6.680571e-07
eps_z[26] = 2.152502e-08
eps_z[27] = -6.714171e-07
eps_z[28] = 1.999259e-08
eps_z[29] = -6.877604e-07
eps_z[30] = 1.821713e-08
eps_z[31] = -6.788227e-07
eps_z[32] = 8.917109e-09
eps_z[33] = -6.911536e-09
eps_z[34] = 7.003306e-09
eps_z[35] = -6.415784e-09
eps_z[36] = 1.310173e-08
eps_z[37] = -6.842536e-07
eps_z[38] = 9.397594e-09
eps_z[39] = -6.894476e-07
eps_z[40] = 6.428868e-09
eps_z[41] = -6.328222e-09
eps_z[42] = 8.350963e-09
eps_z[43] = -9.912407e-09
eps_z[44] = 7.887701e-09
eps_z[45] = -6.914224e-07
eps_z[46] = 9.450882e-09
eps_z[47] = -6.983418e-07
eps_z[48] = 1.551868e-08
eps_z[49] = -6.787234e-07
eps_z[50] = 1.148749e-08
eps_z[51] = -6.835431e-07
eps_z[52] = 1.530411e-08
eps_z[53] = -6.784343e-07
eps_z[54] = 1.240640e-08
eps_z[55] = -6.804056e-07
eps_z[56] = 9.437087e-09
eps_z[57] = -6.860032e-07
eps_z[58] = 1.038623e-08
eps_z[59] = -6.888619e-07
eps_z[60] = 1.047682e-08
eps_z[61] = -6.820905e-07
eps_z[62] = 1.159658e-08
eps_z[63] = -6.819900e-07
eps_z[64] = 8.466261e-07
eps_z[65] = -4.959058e-08
eps_z[66] = 1.110526e-06
eps_z[67] = 4.537649e-08
eps_z[68] = -7.006748e-07
eps_z[69] = -7.252846e-07
eps_z[70] = 1.071130e-06
eps_z[71] = -1.690106e-07
eps_z[72] = -7.251270e-07
eps_z[73] = 1.434074e-08
eps_z[74] = -6.955391e-07
eps_z[75] = 1.327340e-08
eps_z[76] = -6.858865e-07
eps_z[77] = -2.542194e-08
eps_z[78] = -7.025679e-07
eps_z[79] = 1.422879e-09
eps_z[80] = -6.906716e-07
eps_z[81] = -8.007047e-07
eps_z[82] = 9.771808e-07
eps_z[83] = -9.764383e-08
eps_z[84] = -7.333496e-07
eps_z[85] = -8.999982e-07
eps_z[86] = 7.983958e-07
eps_z[87] = -5.869750e-08
eps_z[88] = -7.027061e-07
eps_z[89] = -4.788878e-08
eps_z[90] = -7.077642e-07
eps_z[91] = -9.624735e-09
eps_z[92] = -6.934878e-07
eps_z[93] = 1.138166e-08
eps_z[94] = -6.946327e-07
eps_z[95] = 2.829664e-09
eps_z[96] = -6.901383e-07
eps_z[97] = 1.311610e-08
eps_z[98] = -6.809816e-07
eps_z[99] = 1.208000e-08
eps_z[100] = -6.798490e-07
eps_z[101] = 8.669666e-09
eps_z[102] = -6.838473e-07
eps_z[103] = 1.045047e-08
